Source_mac,Destination_mac,source_IP,Destination_IP,Protocol,FirstDate,LastDate,FirstStamp,LastStamp,FirstOridinalStamp,LastOridinalStamp,SenPacketsCount,SenBytesSum,SenBytesAvg,SenPayloadSum,SenPayloadAvg,SenLoad,SenTtlAvg,SenAckRate,SenFinRate,SenPshRate,SenSynRate,SenUrgRate,SenRstRate,SenTcpWindowAvg,SenFragmentRate,RecPacketsCount,RecBytesSum,RecBytesAvg,RecPayloadSum,RecPayloadAvg,RecLoad,RecTtlAvg,RecAckRate,RecFinRate,RecPshRate,RecSynRate,RecUrgRate,RecRstRate,RecTcpWindowAvg,RecFragmentRate,Sen_AckDelay,Rec_AckDelay,class
02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4:TCP,2022-06-14 22:43:53.036226,2022-06-14 22:43:53.526307,4.032472,4.522553,1655239433.036226,1655239433.526307,10,650,65.0,130,13.0,10610.468,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,20,1160,58.0,120,6.0,18935.604,64.0,1.0,0.0,0.5,0.0,0.0,0.0,502.0,0.0,0.000822,0.025398,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4:TCP,2022-06-14 22:43:53.800973,2022-06-14 22:43:54.201427,4.797219,5.197673,1655239433.800973,1655239434.201427,21,1239,59.0,147,7.0,24751.842,64.0,1.0,0.0,0.571,0.0,0.0,0.0,503.0,0.0,15,933,62.2,153,10.2,18638.796,64.0,1.0,0.0,0.8,0.0,0.0,0.0,506.2,0.0,0.020688,0.028134,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4:TCP,2022-06-14 22:43:54.400196,2022-06-14 22:43:54.851109,5.396442,5.847355,1655239434.400196,1655239434.851109,20,1187,59.35,147,7.35,21059.45,64.0,1.0,0.0,0.6,0.0,0.0,0.0,503.05,0.0,15,933,62.2,153,10.2,16553.047,64.0,1.0,0.0,0.8,0.0,0.0,0.0,506.2,0.0,0.023778,0.029281,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4:TCP,2022-06-14 22:43:54.017632,2022-06-14 22:43:54.507844,5.013878,5.50409,1655239434.017632,1655239434.507844,15,975,65.0,195,13.0,15911.452,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,30,1740,58.0,180,6.0,28395.822,64.0,1.0,0.0,0.5,0.0,0.0,0.0,502.0,0.0,0.00041,0.016729,Normal
02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4:TCP,2022-06-14 22:43:54.030235,2022-06-14 22:43:54.509974,5.026481,5.50622,1655239434.030235,1655239434.509974,10,650,65.0,130,13.0,10839.206,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,17,1004,59.059,120,7.059,16742.404,64.0,1.0,0.0,0.588,0.0,0.0,0.0,502.0,0.0,0.000346,0.032551,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4:TCP,2022-06-14 22:43:55.003948,2022-06-14 22:43:55.059286,6.000194,6.055532,1655239435.003948,1655239435.059286,8,520,65.0,104,13.0,75172.828,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,11,668,60.727,96,8.727,96568.172,64.0,1.0,0.0,0.727,0.0,0.0,0.0,502.0,0.0,0.000529,0.005119,Normal
02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4:TCP,2022-06-14 22:43:55.015747,2022-06-14 22:43:55.020221,6.011993,6.016467,1655239435.015747,1655239435.020221,5,325,65.0,65,13.0,581015.371,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,10,580,58.0,60,6.0,1036888.971,64.0,1.0,0.0,0.5,0.0,0.0,0.0,502.0,0.0,0.000458,0.000278,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4:TCP,2022-06-14 22:43:55.001513,2022-06-14 22:43:55.459097,5.997759,6.455343,1655239435.001513,1655239435.459097,20,1187,59.35,147,7.35,20752.433,64.0,1.0,0.0,0.6,0.0,0.0,0.0,503.05,0.0,15,933,62.2,153,10.2,16311.727,64.0,1.0,0.0,0.8,0.0,0.0,0.0,506.2,0.0,0.02402,0.029244,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4:TCP,2022-06-14 22:43:55.511669,2022-06-14 22:43:55.521591,6.507915,6.517837,1655239435.511669,1655239435.521591,8,520,65.0,104,13.0,419226.89,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,16,928,58.0,96,6.0,748158.758,64.0,1.0,0.0,0.5,0.0,0.0,0.0,502.0,0.0,0.000623,0.00041,Normal
02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4:TCP,2022-06-14 22:43:55.522167,2022-06-14 22:43:56.018482,6.518413,7.014728,1655239435.522167,1655239436.018482,5,325,65.0,65,13.0,5238.598,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,11,644,58.545,72,6.545,10380.483,64.0,1.0,0.0,0.545,0.0,0.0,0.0,502.0,0.0,0.000689,0.04932,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4:TCP,2022-06-14 22:43:55.601095,2022-06-14 22:43:56.019961,6.597341,7.016207,1655239435.601095,1655239436.019961,21,1239,59.0,147,7.0,23663.827,64.0,1.0,0.0,0.571,0.0,0.0,0.0,503.0,0.0,15,933,62.2,153,10.2,17819.492,64.0,1.0,0.0,0.8,0.0,0.0,0.0,506.2,0.0,0.021113,0.029437,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4:TCP,2022-06-14 22:43:56.013340,2022-06-14 22:43:56.018243,7.009586,7.014489,1655239436.01334,1655239436.018243,8,520,65.0,104,13.0,848273.607,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,16,928,58.0,96,6.0,1513842.129,64.0,1.0,0.0,0.5,0.0,0.0,0.0,502.0,0.0,0.000293,0.000197,Normal
02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4:TCP,2022-06-14 22:43:56.023050,2022-06-14 22:43:56.025753,7.019296,7.021999,1655239436.02305,1655239436.025753,5,325,65.0,65,13.0,961555.733,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,9,516,57.333,48,5.333,1526654.64,64.0,1.0,0.0,0.444,0.0,0.0,0.0,502.0,0.0,0.000355,0.0002,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4:TCP,2022-06-14 22:43:56.201392,2022-06-14 22:43:56.604839,7.197638,7.601085,1655239436.201392,1655239436.604839,20,1187,59.35,147,7.35,23537.101,64.0,1.0,0.0,0.6,0.0,0.0,0.0,503.05,0.0,15,933,62.2,153,10.2,18500.519,64.0,1.0,0.0,0.8,0.0,0.0,0.0,506.2,0.0,0.023174,0.029246,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4:TCP,2022-06-14 22:43:56.800671,2022-06-14 22:43:57.251007,7.796917,8.247253,1655239436.800671,1655239437.251007,20,1187,59.35,147,7.35,21086.432,64.0,1.0,0.0,0.6,0.0,0.0,0.0,503.05,0.0,15,933,62.2,153,10.2,16574.255,64.0,1.0,0.0,0.8,0.0,0.0,0.0,506.2,0.0,0.023026,0.029195,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4:TCP,2022-06-14 22:43:56.515093,2022-06-14 22:43:57.005543,7.511339,8.001789,1655239436.515093,1655239437.005543,16,1040,65.0,208,13.0,16963.981,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,29,1700,58.621,192,6.621,27729.585,64.0,1.0,0.0,0.552,0.0,0.0,0.0,502.0,0.0,0.000324,0.018918,Normal
02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4:TCP,2022-06-14 22:43:56.525755,2022-06-14 22:43:57.013101,7.522001,8.009347,1655239436.525755,1655239437.013101,10,650,65.0,130,13.0,10670.012,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,18,1056,58.667,120,6.667,17334.665,64.0,1.0,0.0,0.556,0.0,0.0,0.0,502.0,0.0,0.00088,0.030715,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4:TCP,2022-06-14 22:43:57.404952,2022-06-14 22:43:57.810320,8.401198,8.806566,1655239437.404952,1655239437.81032,21,1239,59.0,147,7.0,24451.805,64.0,1.0,0.0,0.571,0.0,0.0,0.0,503.0,0.0,15,933,62.2,153,10.2,18412.86,64.0,1.0,0.0,0.8,0.0,0.0,0.0,506.2,0.0,0.020424,0.029122,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4:TCP,2022-06-14 22:43:57.510409,2022-06-14 22:43:57.567732,8.506655,8.563978,1655239437.510409,1655239437.567732,8,520,65.0,104,13.0,72569.98,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,15,876,58.4,96,6.4,122252.505,64.0,1.0,0.0,0.533,0.0,0.0,0.0,502.0,0.0,0.000903,0.003631,Normal
02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4:TCP,2022-06-14 22:43:57.523550,2022-06-14 22:43:57.529035,8.519796,8.525281,1655239437.52355,1655239437.529035,5,325,65.0,65,13.0,473928.653,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,10,580,58.0,60,6.0,845780.366,64.0,1.0,0.0,0.5,0.0,0.0,0.0,502.0,0.0,0.000366,0.000421,Normal
02:42:7c:4a:e5:90,33:33:00:00:00:fb,,,34525,2022-06-14 22:43:50.411900,2022-06-14 22:43:50.411900,1.408146,1.408146,1655239430.4119,1655239430.4119,1,107,107.0,103,103.0,856000000.0,,,,,,,,,,0,0,,0,,0.0,,,,,,,,,,,,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4:TCP,2022-06-14 22:43:58.000848,2022-06-14 22:43:58.455098,8.997094,9.451344,1655239438.000848,1655239438.455098,20,1187,59.35,147,7.35,20904.749,64.0,1.0,0.0,0.6,0.0,0.0,0.0,503.05,0.0,15,933,62.2,153,10.2,16431.449,64.0,1.0,0.0,0.8,0.0,0.0,0.0,506.2,0.0,0.023887,0.029094,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4:TCP,2022-06-14 22:43:58.024272,2022-06-14 22:43:58.517551,9.020518,9.513797,1655239438.024272,1655239438.517551,16,1040,65.0,208,13.0,16866.689,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,32,1856,58.0,192,6.0,30100.553,64.0,1.0,0.0,0.5,0.0,0.0,0.0,502.0,0.0,0.000766,0.016934,Normal
02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4:TCP,2022-06-14 22:43:58.037801,2022-06-14 22:43:58.524030,9.034047,9.520276,1655239438.037801,1655239438.52403,10,650,65.0,130,13.0,10694.529,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,20,1160,58.0,120,6.0,19085.62,64.0,1.0,0.0,0.5,0.0,0.0,0.0,502.0,0.0,0.000684,0.025254,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4:TCP,2022-06-14 22:43:58.600364,2022-06-14 22:43:59.012510,9.59661,10.008756,1655239438.600364,1655239439.01251,21,1239,59.0,147,7.0,24049.666,64.0,1.0,0.0,0.571,0.0,0.0,0.0,503.0,0.0,15,933,62.2,153,10.2,18110.039,64.0,1.0,0.0,0.8,0.0,0.0,0.0,506.2,0.0,0.020116,0.029696,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4:TCP,2022-06-14 22:43:59.012997,2022-06-14 22:43:59.512857,10.009243,10.509103,1655239439.012997,1655239439.512857,9,585,65.0,117,13.0,9362.602,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,15,888,59.2,108,7.2,14211.95,64.0,1.0,0.0,0.6,0.0,0.0,0.0,502.0,0.0,0.001522,0.038102,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4:TCP,2022-06-14 22:43:59.201912,2022-06-14 22:43:59.606819,10.198158,10.603065,1655239439.201912,1655239439.606819,21,1239,59.0,147,7.0,24479.636,64.0,1.0,0.0,0.571,0.0,0.0,0.0,503.0,0.0,15,933,62.2,153,10.2,18433.818,64.0,1.0,0.0,0.8,0.0,0.0,0.0,506.2,0.0,0.022456,0.028809,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4:TCP,2022-06-14 22:43:59.513337,2022-06-14 22:43:59.518238,10.509583,10.514484,1655239439.513337,1655239439.518238,7,455,65.0,91,13.0,742528.198,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,14,812,58.0,84,6.0,1325127.246,64.0,1.0,0.0,0.5,0.0,0.0,0.0,502.0,0.0,0.000311,0.000231,Normal
02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4:TCP,2022-06-14 22:43:59.041483,2022-06-14 22:43:59.522569,10.037729,10.518815,1655239439.041483,1655239439.522569,10,650,65.0,130,13.0,10808.855,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,20,1160,58.0,120,6.0,19289.65,64.0,1.0,0.0,0.5,0.0,0.0,0.0,502.0,0.0,0.001105,0.026971,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4:TCP,2022-06-14 22:43:59.800722,2022-06-14 22:44:00.211923,10.796968,11.208169,1655239439.800722,1655239440.211923,21,1239,59.0,147,7.0,24104.941,64.0,1.0,0.0,0.571,0.0,0.0,0.0,503.0,0.0,15,933,62.2,153,10.2,18151.663,64.0,1.0,0.0,0.8,0.0,0.0,0.0,506.2,0.0,0.02044,0.028806,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4:TCP,2022-06-14 22:44:00.028606,2022-06-14 22:44:00.518652,11.024852,11.514898,1655239440.028606,1655239440.518652,16,1040,65.0,208,13.0,16977.962,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,25,1492,59.68,192,7.68,24356.846,64.0,1.0,0.0,0.64,0.0,0.0,0.0,502.0,0.0,0.000725,0.019978,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4:TCP,2022-06-14 22:44:00.401488,2022-06-14 22:44:00.805547,11.397734,11.801793,1655239440.401488,1655239440.805547,21,1239,59.0,147,7.0,24531.014,64.0,1.0,0.0,0.571,0.0,0.0,0.0,503.0,0.0,15,933,62.2,153,10.2,18472.507,64.0,1.0,0.0,0.8,0.0,0.0,0.0,506.2,0.0,0.022141,0.028859,Normal
02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4:TCP,2022-06-14 22:44:00.048583,2022-06-14 22:44:00.526120,11.044829,11.522366,1655239440.048583,1655239440.52612,10,650,65.0,130,13.0,10889.188,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,20,1160,58.0,120,6.0,19433.012,64.0,1.0,0.0,0.5,0.0,0.0,0.0,502.0,0.0,0.000994,0.024677,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4:TCP,2022-06-14 22:44:00.559908,2022-06-14 22:44:01.017499,11.556154,12.013745,1655239440.559908,1655239441.017499,8,520,65.0,104,13.0,9091.067,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,17,980,57.647,96,5.647,17133.165,64.0,1.0,0.0,0.471,0.0,0.0,0.0,502.0,0.0,0.000267,0.000191,Normal
02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4:TCP,2022-06-14 22:44:01.017738,2022-06-14 22:44:01.067116,12.013984,12.063362,1655239441.017738,1655239441.067116,5,325,65.0,65,13.0,52654.049,64.0,1.0,0.0,1.0,0.0,0.0,0.0,509.0,0.0,8,476,59.5,60,7.5,77117.931,64.0,1.0,0.0,0.625,0.0,0.0,0.0,502.0,0.0,0.001141,0.006265,Normal
02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4:TCP,2022-06-14 22:44:01.001217,2022-06-14 22:44:01.409880,11.997463,12.406126,1655239441.001217,1655239441.40988,21,1239,59.0,147,7.0,24254.642,64.0,1.0,0.0,0.571,0.0,0.0,0.0,503.0,0.0,15,933,62.2,153,10.2,18264.392,64.0,1.0,0.0,0.8,0.0,0.0,0.0,506.2,0.0,0.020254,0.028681,Normal
